subgroup,group_value,small_sample_warning,accuracy_gap_vs_overall,recall_gap_vs_overall,precision_gap_vs_overall,false_positive_rate_gap_vs_overall,false_negative_rate_gap_vs_overall,f1_score,sample_count,accuracy,precision,recall,f1,roc_auc,observed_dropout_rate,predicted_dropout_rate,true_negative,false_positive,false_negative,true_positive,false_positive_rate,false_negative_rate
overall,all,False,0.0,0.0,0.0,0.0,0.0,0.8184931506849316,885,0.880225988700565,0.7966666666666666,0.8415492957746479,0.8184931506849316,0.9316866255770899,0.32090395480225986,0.3389830508474576,540,61,45,239,0.10149750415973377,0.15845070422535212
gender,0,False,0.022256280802981143,-0.015462339252908741,-0.01045977011494248,-0.028727551108090582,0.015462339252908741,0.8056537102473498,564,0.9024822695035462,0.7862068965517242,0.8260869565217391,0.8056537102473498,0.9258181941892902,0.24468085106382978,0.2570921985815603,395,31,24,114,0.07276995305164319,0.17391304347826086
gender,1,False,-0.039104493373462224,0.01461508778699594,0.009784946236559122,0.06993106726883766,-0.014615087786995967,0.8305647840531561,321,0.8411214953271028,0.8064516129032258,0.8561643835616438,0.8305647840531561,0.9227788649706459,0.45482866043613707,0.48286604361370716,145,30,21,125,0.17142857142857143,0.14383561643835616
scholarship_holder,0,False,-0.013253511636344806,0.02511737089201882,0.009902676399026755,0.031334576040767476,-0.025117370892018792,0.8355387523629489,654,0.8669724770642202,0.8065693430656934,0.8666666666666667,0.8355387523629489,0.9337854440021623,0.38990825688073394,0.41896024464831805,346,53,34,221,0.13283208020050125,0.13333333333333333
scholarship_holder,1,False,0.03752292904835275,-0.22085964060223406,-0.10435897435897434,-0.061893543763694166,0.22085964060223406,0.6545454545454545,231,0.9177489177489178,0.6923076923076923,0.6206896551724138,0.6545454545454545,0.8697507681802663,0.12554112554112554,0.11255411255411256,194,8,11,18,0.039603960396039604,0.3793103448275862
debtor,0,False,0.004050740859183444,-0.026894123360854727,-0.0025490196078431504,-0.014463756379982443,0.026894123360854783,0.8042553191489362,795,0.8842767295597485,0.7941176470588235,0.8146551724137931,0.8042553191489362,0.9241593679181723,0.2918238993710692,0.2993710691823899,514,49,43,189,0.08703374777975133,0.1853448275862069
debtor,1,False,-0.03578154425612057,0.11998916576381369,0.009784946236559122,0.21429196952447674,-0.11998916576381366,0.8771929824561403,90,0.8444444444444444,0.8064516129032258,0.9615384615384616,0.8771929824561403,0.9529352226720649,0.5777777777777777,0.6888888888888889,26,12,2,50,0.3157894736842105,0.038461538461538464
tuition_fees_up_to_date,0,False,0.023282783229259585,0.14824662259269905,0.10987538940809971,0.5235024958402662,-0.14824662259269905,0.9463414634146341,114,0.9035087719298246,0.9065420560747663,0.9897959183673469,0.9463414634146341,0.9292091836734694,0.8596491228070176,0.9385964912280702,6,10,1,97,0.625,0.01020408163265306
tuition_fees_up_to_date,1,False,-0.0034425905163886217,-0.07810843555959412,-0.06091537132987912,-0.014318016980246595,0.07810843555959412,0.7493403693931399,771,0.8767833981841764,0.7357512953367875,0.7634408602150538,0.7493403693931399,0.905560150721441,0.24124513618677043,0.2503242542153048,534,51,44,142,0.08717948717948718,0.23655913978494625
displaced,0,False,0.021072712598136256,0.045774647887323994,0.05468468468468468,-0.010962524735865453,-0.04577464788732395,0.8689655172413793,385,0.9012987012987013,0.8513513513513513,0.8873239436619719,0.8689655172413793,0.9575146351359185,0.36883116883116884,0.38441558441558443,221,22,16,126,0.09053497942386832,0.11267605633802817
displaced,1,False,-0.01622598870056502,-0.04577464788732388,-0.05324561403508765,0.0074410433262997455,0.04577464788732394,0.7687074829931972,500,0.864,0.743421052631579,0.795774647887324,0.7687074829931972,0.9044181288850421,0.284,0.304,319,39,29,113,0.10893854748603352,0.20422535211267606
educational_special_needs,0,False,-0.0013688458434221173,-0.0011237638597542121,-0.0013646532438478243,0.0013692749296422835,0.0011237638597542676,0.8172413793103448,875,0.8788571428571429,0.7953020134228188,0.8404255319148937,0.8172413793103448,0.9309796323538206,0.3222857142857143,0.3405714285714286,532,61,45,237,0.10286677908937605,0.1595744680851064
educational_special_needs,1,True,0.11977401129943499,0.15845070422535212,0.20333333333333337,-0.10149750415973377,-0.15845070422535212,1.0,10,1.0,1.0,1.0,1.0,1.0,0.2,0.2,8,0,0,2,0.0,0.0
international,0,False,-0.00013285715225297423,-0.000969585629720382,0.0005841924398626297,-0.00029681805338728495,0.0009695856297203265,0.818342151675485,859,0.880093131548312,0.7972508591065293,0.8405797101449275,0.818342151675485,0.9303390757451463,0.3213038416763679,0.33876600698486614,524,59,44,232,0.10120068610634649,0.15942028985507245
international,1,True,0.004389395914819572,0.033450704225352124,-0.018888888888888844,0.009613606951377335,-0.033450704225352124,0.8235294117647058,26,0.8846153846153846,0.7777777777777778,0.875,0.8235294117647058,0.9722222222222222,0.3076923076923077,0.34615384615384615,16,2,1,7,0.1111111111111111,0.125
