student_id,predicted_dropout_probability,predicted_dropout_flag,risk_category,support_action,observed_outcome
1,0.681125438245373,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
2,0.5227392005942709,1,Medium,"Schedule a check-in within two weeks and review attendance, coursework, and advising needs.",Graduate
3,0.9983201976072319,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
4,0.23843790731910455,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
5,0.14370512181045664,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
6,0.4896729340433591,0,Medium,"Schedule a check-in within two weeks and review attendance, coursework, and advising needs.",Graduate
7,0.02453399733399315,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
8,0.9992556207070081,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
9,0.029872505804266324,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
10,0.8804235736858808,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
11,0.22361102932339072,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
12,0.03594762454984214,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
13,0.9873967051530579,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
14,0.06596633912820025,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
15,0.05851795678699471,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
16,0.9005287621191062,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
17,0.6966044307610806,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Enrolled
18,0.08833636539868682,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
19,0.2537512361958566,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
20,0.37934842803401175,0,Medium,"Schedule a check-in within two weeks and review attendance, coursework, and advising needs.",Enrolled
21,0.21532215719849668,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
22,0.08353415263683538,0,Low,Continue routine monitoring and reinforce the student's current supports.,Enrolled
23,0.07329911349711209,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
24,0.06256239662852439,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
25,0.0447503181726999,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
26,0.10605131149011808,0,Low,Continue routine monitoring and reinforce the student's current supports.,Enrolled
27,0.07604086056641036,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
28,0.07015036430257243,0,Low,Continue routine monitoring and reinforce the student's current supports.,Enrolled
29,0.15789633597917876,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
30,0.2857937734821848,0,Low,Continue routine monitoring and reinforce the student's current supports.,Enrolled
31,0.054937965610479145,0,Low,Continue routine monitoring and reinforce the student's current supports.,Enrolled
32,0.13826468588061833,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
33,0.7869880792531554,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Enrolled
34,0.031493735300498746,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
35,0.25090076016085494,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
36,0.9962751415680304,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
37,0.9964841225789398,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
38,0.7323813797880351,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
39,0.06692286788325957,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
40,0.8413026735524873,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
41,0.9240706952104245,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
42,0.07681055177657926,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
43,0.13887377586213467,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
44,0.7800728131264687,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
45,0.9903222603413476,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
46,0.3512791692968559,0,Medium,"Schedule a check-in within two weeks and review attendance, coursework, and advising needs.",Enrolled
47,0.09899607361378701,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
48,0.20401181067597735,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
49,0.026311115928177944,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
50,0.04083893815613335,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
51,0.07239972978139055,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
52,0.047269403133545246,0,Low,Continue routine monitoring and reinforce the student's current supports.,Enrolled
53,0.43766065006986604,0,Medium,"Schedule a check-in within two weeks and review attendance, coursework, and advising needs.",Enrolled
54,0.49110310544902375,0,Medium,"Schedule a check-in within two weeks and review attendance, coursework, and advising needs.",Graduate
55,0.1620368195975575,0,Low,Continue routine monitoring and reinforce the student's current supports.,Dropout
56,0.03312129209435513,0,Low,Continue routine monitoring and reinforce the student's current supports.,Graduate
57,0.9865368246462454,1,High,"Start proactive outreach within 72 hours and connect the student to academic, advising, and financial support.",Dropout
